# HostFS extension -> RISC OS filetype.
#
# Generated by riscos-pi4/tools/mktypemap.py from ROOL's filetype
# allocation list: https://www.riscosopen.org/wiki/documentation/show/File%20Types
# Edit freely — this file is read at startup, and a hand-made entry
# is as good as a generated one.  Regenerate to pick up new
# allocations; your edits are not preserved, so keep them below in
# a block of their own if you regenerate often.
#
# Executable types (&FFA Module, &FF8 Absolute, &FFC Utility,
# &FEB Obey, &FFB BASIC, &FFE Command) are deliberately absent: an
# extension is a guess, and a guess must not tell the desktop that
# a host file is code.  Only a ,xxx suffix may say that.
#
# ext	type	name	description
669	1B1	PCTk	Generic PC music track
ac3	A8F	AC3Audio	AC3 raw audio
adf	FCE	Floppy	Filecore floppy disc image
afm	1B1	PCTk	Generic PC music track
ai	B2D	AdobeIll	Adobe Illustrator drawing
aif	FC2	AIFF	Audio IFF
aifc	FC2	AIFF	Audio IFF
aiff	FC2	AIFF	Audio IFF
apd	FCE	Floppy	Filecore floppy disc image
avi	FB2	MovieFS	Video
bat	FDA	MSDOSbat	Windows batch file
bbc	1C7	Basic8	Tokenised BBC BASIC in Z80/80×86/Windows format, also known as “Russell format”
blb	17B	Blorb	Blorb
blorb	17B	Blorb	Blorb
bmp	69C	BMP	MS Windows bitmap
cab	ABF	Cabinet	Archive
cff	CFF	CFF Font	Compact Font Format font
cgm	405	MetaFile	Computer Graphics Metafile CGM / GMF
com	FD8	MSDOScom	Windows command file
css	F79	CSS	Cascading Style Sheet
csv	DFE	CSV	Comma separated value spreadsheet
cue	A79	CUE	CDROM image CUE file
cur	6A5	CUR	Windows 3.0 cursor definition
d64	164	C64-Disc	C64 archive
dbm	1B1	PCTk	Generic PC music track
digi	1B1	PCTk	Generic PC music track
docx	A7E	MSWordX	Microsoft Word document
drw	AFF	DrawFile	DrawFile
dsm	1B1	PCTk	Generic PC music track
dtm	1B1	PCTk	Generic PC music track
dvi	CE4	DVI	DVI , (TeX) output
dxf	DEA	DXF	Data eXchange Format, AutoSketch, AutoCAD
elf	E1F	ELF	ELF format executable
eps	FF5	PoScript	PostScript
epsi	0F5	EPSI	Encapsulated PostScript with Thumbnail
exe	FD9	MSDOSexe	Windows executable
far	1B1	PCTk	Generic PC music track
flac	1CF	FLAC	Free Lossless Audio Codec
flc	FB2	MovieFS	Video
fli	FB2	MovieFS	Video
fwk	BDF	Firewrkz	Fireworkz document
fzs	B31	FuzzySht?	FuzzySheet
gam	06C	TADS	TADS
gf	CA2	GF	TeX font bitmaps (uncompressed)
gif	695	GIF	Graphics Interchange Format
gp	449	G_Proj	Project for Mark Jones’s Haskell dialect
gs	448	G_Script	Script for Mark Jones’s Haskell dialect
gz	F89	GZip	Gzip, ( GNU Zip)
hdf	FCD	HardDisc	Filecore hard disc image
hpgl	CAE	HPGLPlot	Hewlett-Packard Graphics Language drawing
htm	FAF	HTML	Hypertext markup language
html	FAF	HTML	Hypertext markup language
ical	1D5	vCalendr	Calendar and Diary information
icalendar	1D5	vCalendr	Calendar and Diary information
icc	81C	ICM	ICC Colour Profile
ico	132	ICO	Windows 3.0 icon collection
ics	1D5	vCalendr	Calendar and Diary information
ifb	1D5	vCalendr	Calendar and Diary information
iff	693	AmigaIFF	Amiga IFF ( ILBM )
img	692	Img	Atari IMG image
iso	DF6	CDImage	CD ROM image
it	1AE	ImpulsTk	ImpulseTracker music track
jar	AE4	Java	Java application
jfd	FCE	Floppy	Filecore floppy disc image
jng	F78	JNG	Joint Network Graphics picture
jpeg	C85	JPEG	JPEG compressed picture
jpg	C85	JPEG	JPEG compressed picture
js	F81	JSScript	JavaScript
latex	ACA	LaTeX	LaTeX source (industry standard)
ltx	ACA	LaTeX	LaTeX source (industry standard)
lua	18C	Lua	lua script or compiled object file
m3u	AA7	M3UFile	WinAmp mp3 URL list
mf	CA0	Metafont	Metafont source
